ASU.svg,1,2645899
ASU.svg,2,2188920
ASU.svg,3,7375735
ASU.svg,4,2123481
ASU.svg,5,1183696
ASU.svg,6,1177092
ASU.svg,7,1205306
ASU.svg,8,1165209
ASU.svg,9,1214720
ASU.svg,10,1236022
ASU.svg,11,1226444
ASU.svg,12,1235970
ASU.svg,13,1211774
ASU.svg,14,1259755
ASU.svg,15,1249346
ASU.svg,16,1177557
ASU.svg,17,1335226
ASU.svg,18,1233095
ASU.svg,19,1130085
ASU.svg,20,1255674
ASU.svg,21,4391328
ASU.svg,22,1134359
ASU.svg,23,1330868
ASU.svg,24,1058537
ASU.svg,25,1215801
ASU.svg,26,1223606
ASU.svg,27,1230948
ASU.svg,28,1240565
ASU.svg,29,1219042
ASU.svg,30,1175526
ASU.svg,31,1226493
ASU.svg,32,1603866
ASU.svg,33,1797414
ASU.svg,34,2136197
ASU.svg,35,1550782
ASU.svg,36,1529270
ASU.svg,37,1567346
ASU.svg,38,1618938
ASU.svg,39,1241675
ASU.svg,40,1259037
ASU.svg,41,1231553
ASU.svg,42,1190214
ASU.svg,43,1248018
ASU.svg,44,1236794
ASU.svg,45,1199552
ASU.svg,46,1213915
ASU.svg,47,1185962
ASU.svg,48,1238541
ASU.svg,49,1281027
ASU.svg,50,1160460
Ferris.svg,1,2338386
Ferris.svg,2,6668852
Ferris.svg,3,2179269
Ferris.svg,4,2078377
Ferris.svg,5,2072990
Ferris.svg,6,2142064
Ferris.svg,7,2787392
Ferris.svg,8,3256674
Ferris.svg,9,1199930
Ferris.svg,10,1130992
Ferris.svg,11,1190954
Ferris.svg,12,1188190
Ferris.svg,13,1248328
Ferris.svg,14,1085897
Ferris.svg,15,1203513
Ferris.svg,16,1157688
Ferris.svg,17,1033795
Ferris.svg,18,1185951
Ferris.svg,19,1239340
Ferris.svg,20,1181039
Ferris.svg,21,1216488
Ferris.svg,22,1212906
Ferris.svg,23,1170531
Ferris.svg,24,1182915
Ferris.svg,25,1239823
Ferris.svg,26,1237582
Ferris.svg,27,1440969
Ferris.svg,28,1202127
Ferris.svg,29,1213749
Ferris.svg,30,1196272
Ferris.svg,31,1217133
Ferris.svg,32,1207830
Ferris.svg,33,1165375
Ferris.svg,34,1269618
Ferris.svg,35,1179860
Ferris.svg,36,1241618
Ferris.svg,37,1200118
Ferris.svg,38,1159906
Ferris.svg,39,1137646
Ferris.svg,40,1048189
Ferris.svg,41,1198525
Ferris.svg,42,1277159
Ferris.svg,43,1179469
Ferris.svg,44,1197574
Ferris.svg,45,1224253
Ferris.svg,46,1034875
Ferris.svg,47,1176614
Ferris.svg,48,1234195
Ferris.svg,49,1124238
Ferris.svg,50,2094017
Flag_of_Denmark.svg,1,2530526
Flag_of_Denmark.svg,2,3454418
Flag_of_Denmark.svg,3,2208324
Flag_of_Denmark.svg,4,2112628
Flag_of_Denmark.svg,5,2133951
Flag_of_Denmark.svg,6,2101560
Flag_of_Denmark.svg,7,2774846
Flag_of_Denmark.svg,8,2139047
Flag_of_Denmark.svg,9,1180717
Flag_of_Denmark.svg,10,1129744
Flag_of_Denmark.svg,11,1175106
Flag_of_Denmark.svg,12,1203164
Flag_of_Denmark.svg,13,1186636
Flag_of_Denmark.svg,14,1046615
Flag_of_Denmark.svg,15,1220091
Flag_of_Denmark.svg,16,1163836
Flag_of_Denmark.svg,17,1193985
Flag_of_Denmark.svg,18,1185668
Flag_of_Denmark.svg,19,1006375
Flag_of_Denmark.svg,20,1202203
Flag_of_Denmark.svg,21,1008118
Flag_of_Denmark.svg,22,1250939
Flag_of_Denmark.svg,23,1202713
Flag_of_Denmark.svg,24,1127905
Flag_of_Denmark.svg,25,1164686
Flag_of_Denmark.svg,26,1227407
Flag_of_Denmark.svg,27,998695
Flag_of_Denmark.svg,28,1200486
Flag_of_Denmark.svg,29,1212693
Flag_of_Denmark.svg,30,1170564
Flag_of_Denmark.svg,31,1164430
Flag_of_Denmark.svg,32,1183368
