tessellator,filename,vertices,indices,triangles
Lyon,assets/svg/examples/Ferris.svg,1174,3450,1150
Lyon,assets/svg/examples/NASA.svg,1283,3549,1183
Lyon,assets/svg/examples/Ghostscript_Tiger.svg,12792,36852,12284
Lyon,assets/svg/examples/København_64.svg,126543,349629,116543
Lyon,assets/svg/examples/København_256.svg,374933,1060257,353419
Lyon,assets/svg/examples/Flag_of_Denmark.svg,16,36,12
Lyon,assets/svg/examples/ASU.svg,651,1986,662
