tessellator,primitive,amount,init_time,tess_time
Lyon,triangle,10,29969,9187
Lyon,triangle,10,30801,9281
Lyon,triangle,10,29513,9271
Lyon,triangle,10,30231,9393
Lyon,triangle,10,30331,12321
Lyon,triangle,10,31216,9070
Lyon,triangle,10,29715,9592
Lyon,triangle,10,30845,9428
Lyon,triangle,10,30181,9839
Lyon,triangle,10,30476,9557
Lyon,triangle,10,29460,9068
Lyon,triangle,10,30299,9726
Lyon,triangle,10,30032,9103
Lyon,triangle,10,29928,8694
Lyon,triangle,10,29982,9037
Lyon,triangle,10,31289,9109
Lyon,triangle,10,28293,9425
Lyon,triangle,10,29243,9505
Lyon,triangle,10,29225,9420
Lyon,triangle,10,29152,9363
Lyon,triangle,10,29614,9126
Lyon,triangle,10,29052,8983
Lyon,triangle,10,29408,8938
Lyon,triangle,10,29571,9158
Lyon,triangle,10,29799,9631
Lyon,triangle,10,24821,8971
Lyon,triangle,10,29434,9000
Lyon,triangle,10,29404,9244
Lyon,triangle,10,29674,8870
Lyon,triangle,10,29184,8922
Lyon,triangle,10,28916,9426
Lyon,triangle,10,29308,9030
Lyon,triangle,10,29096,9012
Lyon,triangle,10,29199,9071
Lyon,triangle,10,29704,17165
Lyon,triangle,10,30365,9073
Lyon,triangle,10,29278,9163
Lyon,triangle,10,28859,9186
Lyon,triangle,10,29132,9168
Lyon,triangle,10,29529,9020
Lyon,triangle,10,29654,8858
Lyon,triangle,10,29105,8939
Lyon,triangle,10,29489,9238
Lyon,triangle,10,29536,9143
Lyon,triangle,10,29195,9247
Lyon,triangle,10,29146,9094
Lyon,triangle,10,28870,8870
Lyon,triangle,10,35872,9155
Lyon,triangle,10,29673,9046
Lyon,triangle,10,29895,9288
Lyon,triangle,10,29570,8922
Lyon,triangle,10,29089,9346
Lyon,triangle,10,31264,10014
Lyon,triangle,10,30614,9100
Lyon,triangle,10,30018,9555
Lyon,triangle,10,30018,9157
Lyon,triangle,10,30201,9091
Lyon,triangle,10,30545,9481
Lyon,triangle,10,26890,9265
Lyon,triangle,10,30098,9057
Lyon,triangle,10,30166,6666
Lyon,triangle,10,21807,5972
Lyon,triangle,10,21096,6081
Lyon,triangle,10,20796,6079
Lyon,triangle,10,20440,6151
Lyon,triangle,10,25829,8964
Lyon,triangle,10,29066,9166
Lyon,triangle,10,29582,8905
Lyon,triangle,10,29515,9754
Lyon,triangle,10,26976,11570
Lyon,triangle,10,30973,9483
Lyon,triangle,10,31539,9568
Lyon,triangle,10,31979,9357
Lyon,triangle,10,29841,8183
Lyon,triangle,10,22581,6180
Lyon,triangle,10,21298,8199
Lyon,triangle,10,27287,7590
Lyon,triangle,10,26675,8549
